Epoch 000 | Train loss: 53.056434 | Val loss: 25.741913 | epoch time: 3.37s
Epoch 001 | Train loss: 24.351860 | Val loss: 23.003963 | epoch time: 2.51s
Epoch 002 | Train loss: 22.922167 | Val loss: 22.369021 | epoch time: 2.68s
Epoch 003 | Train loss: 22.046639 | Val loss: 23.626196 | epoch time: 2.41s
Epoch 004 | Train loss: 21.528918 | Val loss: 20.232492 | epoch time: 2.95s
Epoch 005 | Train loss: 19.612207 | Val loss: 19.945231 | epoch time: 2.70s
Epoch 006 | Train loss: 18.572555 | Val loss: 18.198105 | epoch time: 2.88s
Epoch 007 | Train loss: 17.829101 | Val loss: 17.628834 | epoch time: 2.78s
Epoch 008 | Train loss: 17.704386 | Val loss: 17.935011 | epoch time: 2.70s
Epoch 009 | Train loss: 17.444144 | Val loss: 16.994101 | epoch time: 2.97s
Epoch 010 | Train loss: 16.756611 | Val loss: 16.834057 | epoch time: 3.01s
Epoch 011 | Train loss: 16.795478 | Val loss: 16.847528 | epoch time: 2.56s
Epoch 012 | Train loss: 16.527980 | Val loss: 16.697094 | epoch time: 3.01s
Epoch 013 | Train loss: 16.240065 | Val loss: 15.862363 | epoch time: 2.90s
Epoch 014 | Train loss: 15.746265 | Val loss: 15.684842 | epoch time: 2.99s
Epoch 015 | Train loss: 15.495789 | Val loss: 15.792266 | epoch time: 2.61s
Epoch 016 | Train loss: 15.523928 | Val loss: 15.978717 | epoch time: 2.69s
Epoch 017 | Train loss: 15.288527 | Val loss: 15.226882 | epoch time: 3.03s
Epoch 018 | Train loss: 15.205711 | Val loss: 15.894409 | epoch time: 2.90s
Epoch 019 | Train loss: 15.397026 | Val loss: 15.857258 | epoch time: 2.62s
Epoch 020 | Train loss: 15.126450 | Val loss: 14.908422 | epoch time: 3.40s
Epoch 021 | Train loss: 14.658306 | Val loss: 15.134001 | epoch time: 3.04s
Epoch 022 | Train loss: 14.380737 | Val loss: 14.734614 | epoch time: 3.21s
Epoch 023 | Train loss: 14.694442 | Val loss: 15.503840 | epoch time: 2.49s
Epoch 024 | Train loss: 14.842565 | Val loss: 14.307148 | epoch time: 3.00s
Epoch 025 | Train loss: 14.215544 | Val loss: 14.519527 | epoch time: 2.81s
Epoch 026 | Train loss: 14.425962 | Val loss: 14.368300 | epoch time: 2.50s
Epoch 027 | Train loss: 14.118773 | Val loss: 15.181245 | epoch time: 2.55s
Epoch 028 | Train loss: 14.420372 | Val loss: 15.242635 | epoch time: 2.64s
Epoch 029 | Train loss: 14.343138 | Val loss: 14.364782 | epoch time: 2.52s
Epoch 030 | Train loss: 14.101354 | Val loss: 13.976599 | epoch time: 2.75s
Epoch 031 | Train loss: 13.859307 | Val loss: 14.701095 | epoch time: 2.85s
Epoch 032 | Train loss: 13.844386 | Val loss: 13.655484 | epoch time: 2.80s
Epoch 033 | Train loss: 13.647780 | Val loss: 13.639030 | epoch time: 2.98s
Epoch 034 | Train loss: 13.739186 | Val loss: 13.334131 | epoch time: 2.95s
Epoch 035 | Train loss: 13.507180 | Val loss: 14.357987 | epoch time: 2.53s
Epoch 036 | Train loss: 13.392012 | Val loss: 13.687350 | epoch time: 2.76s
Epoch 037 | Train loss: 13.539992 | Val loss: 13.683621 | epoch time: 2.62s
Epoch 038 | Train loss: 13.264980 | Val loss: 13.625637 | epoch time: 2.73s
Epoch 039 | Train loss: 12.943550 | Val loss: 12.990948 | epoch time: 2.84s
Epoch 040 | Train loss: 13.259149 | Val loss: 13.396670 | epoch time: 2.45s
Epoch 041 | Train loss: 13.126567 | Val loss: 12.993059 | epoch time: 2.87s
Epoch 042 | Train loss: 12.634204 | Val loss: 12.998504 | epoch time: 2.55s
Epoch 043 | Train loss: 13.029245 | Val loss: 12.549683 | epoch time: 2.93s
Epoch 044 | Train loss: 12.837375 | Val loss: 12.909526 | epoch time: 2.84s
Epoch 045 | Train loss: 12.716987 | Val loss: 13.078190 | epoch time: 2.87s
Epoch 046 | Train loss: 12.673271 | Val loss: 12.886100 | epoch time: 2.50s
Epoch 047 | Train loss: 12.574920 | Val loss: 12.849837 | epoch time: 3.03s
