# -------------------------
Cluster: 15000001;CONDOR_PROC=0   Process: unknown
# -------------------------
# Hyperparameters
# -------------------------
n_transforms        : 3
n_splines_bins      : 24
aux_nodes           : 256
aux_layers          : 2
n_passes_flow       : 2
initial_lr          : 0.003
scheduler_patience  : 5
early_stop_patience : 15
batch_size          : 8192
weight_decay        : 1e-05
max_epoch_number    : 250
z_width             : 20
conditions_dim      : 9
Epoch 000 | Train loss: 81.345613 | Val loss: 32.629912 | epoch time: 3.29s
Epoch 001 | Train loss: 28.227309 | Val loss: 26.138734 | epoch time: 2.79s
Epoch 002 | Train loss: 24.018069 | Val loss: 23.080946 | epoch time: 3.21s
Epoch 003 | Train loss: 23.166531 | Val loss: 22.733773 | epoch time: 2.87s
Epoch 004 | Train loss: 22.063222 | Val loss: 21.357709 | epoch time: 3.10s
Epoch 005 | Train loss: 20.615617 | Val loss: 21.742479 | epoch time: 2.99s
Epoch 006 | Train loss: 20.397440 | Val loss: 19.724424 | epoch time: 3.07s
Epoch 007 | Train loss: 19.010263 | Val loss: 19.071790 | epoch time: 2.95s
Epoch 008 | Train loss: 18.420197 | Val loss: 18.324005 | epoch time: 2.97s
Epoch 009 | Train loss: 18.083635 | Val loss: 18.314968 | epoch time: 3.03s
Epoch 010 | Train loss: 17.688283 | Val loss: 17.309176 | epoch time: 2.95s
Epoch 011 | Train loss: 16.781172 | Val loss: 16.521192 | epoch time: 3.21s
Epoch 012 | Train loss: 16.643620 | Val loss: 16.051700 | epoch time: 3.14s
Epoch 013 | Train loss: 15.802876 | Val loss: 15.349044 | epoch time: 2.82s
Epoch 014 | Train loss: 15.281106 | Val loss: 15.812372 | epoch time: 3.09s
Epoch 015 | Train loss: 15.249234 | Val loss: 15.105389 | epoch time: 2.89s
Epoch 016 | Train loss: 14.685706 | Val loss: 14.679760 | epoch time: 2.83s
Epoch 017 | Train loss: 14.457152 | Val loss: 14.812340 | epoch time: 2.93s
Epoch 018 | Train loss: 14.505122 | Val loss: 15.077059 | epoch time: 2.92s
Epoch 019 | Train loss: 14.675496 | Val loss: 14.442268 | epoch time: 2.80s
Epoch 020 | Train loss: 13.957571 | Val loss: 14.686425 | epoch time: 3.05s
Epoch 021 | Train loss: 14.028870 | Val loss: 14.340247 | epoch time: 2.93s
Epoch 022 | Train loss: 13.621787 | Val loss: 13.703356 | epoch time: 2.93s
Epoch 023 | Train loss: 13.634480 | Val loss: 13.662378 | epoch time: 3.07s
Epoch 024 | Train loss: 13.189589 | Val loss: 13.642588 | epoch time: 2.94s
Epoch 025 | Train loss: 13.506384 | Val loss: 13.859306 | epoch time: 3.10s
Epoch 026 | Train loss: 13.012611 | Val loss: 12.891874 | epoch time: 3.06s
Epoch 027 | Train loss: 13.337421 | Val loss: 13.306308 | epoch time: 3.13s
Epoch 028 | Train loss: 13.535563 | Val loss: 13.920030 | epoch time: 2.83s
Epoch 029 | Train loss: 13.336339 | Val loss: 13.347558 | epoch time: 2.95s
Epoch 030 | Train loss: 13.204920 | Val loss: 12.784380 | epoch time: 2.96s
Epoch 031 | Train loss: 12.829724 | Val loss: 12.774116 | epoch time: 2.98s
Epoch 032 | Train loss: 12.616986 | Val loss: 13.036745 | epoch time: 2.84s
Epoch 033 | Train loss: 12.553769 | Val loss: 13.307337 | epoch time: 2.89s
Epoch 034 | Train loss: 12.473014 | Val loss: 12.670227 | epoch time: 2.93s
Epoch 035 | Train loss: 12.502340 | Val loss: 12.641684 | epoch time: 2.94s
Epoch 036 | Train loss: 12.497206 | Val loss: 12.604285 | epoch time: 3.06s
Epoch 037 | Train loss: 12.128503 | Val loss: 12.224421 | epoch time: 2.93s
Epoch 038 | Train loss: 12.563378 | Val loss: 12.424149 | epoch time: 3.01s
Epoch 039 | Train loss: 12.080656 | Val loss: 12.218160 | epoch time: 2.96s
Epoch 040 | Train loss: 11.842073 | Val loss: 12.332561 | epoch time: 2.85s
Epoch 041 | Train loss: 11.870221 | Val loss: 11.899217 | epoch time: 3.05s
Epoch 042 | Train loss: 11.777364 | Val loss: 11.889880 | epoch time: 2.85s
Epoch 043 | Train loss: 11.826663 | Val loss: 12.914637 | epoch time: 3.01s
Epoch 044 | Train loss: 11.978091 | Val loss: 12.386325 | epoch time: 2.99s
Epoch 045 | Train loss: 12.050639 | Val loss: 13.320646 | epoch time: 2.89s
Epoch 046 | Train loss: 12.290403 | Val loss: 12.061098 | epoch time: 2.84s
Epoch 047 | Train loss: 11.964359 | Val loss: 11.982473 | epoch time: 2.94s
Epoch 048 | Train loss: 11.522708 | Val loss: 11.806494 | epoch time: 2.81s
Epoch 049 | Train loss: 11.724091 | Val loss: 11.904815 | epoch time: 3.15s
Epoch 050 | Train loss: 11.533989 | Val loss: 11.675655 | epoch time: 3.06s
Epoch 051 | Train loss: 11.574939 | Val loss: 11.330873 | epoch time: 2.93s
Epoch 052 | Train loss: 11.260686 | Val loss: 11.935305 | epoch time: 3.05s
Epoch 053 | Train loss: 11.507671 | Val loss: 11.248682 | epoch time: 2.83s
Epoch 054 | Train loss: 11.047153 | Val loss: 11.467428 | epoch time: 3.07s
Epoch 055 | Train loss: 11.561303 | Val loss: 12.025451 | epoch time: 2.97s
Epoch 056 | Train loss: 11.002863 | Val loss: 10.781002 | epoch time: 2.99s
Epoch 057 | Train loss: 11.018620 | Val loss: 12.368093 | epoch time: 3.04s
Epoch 058 | Train loss: 11.592197 | Val loss: 11.625138 | epoch time: 2.92s
Epoch 059 | Train loss: 11.242983 | Val loss: 12.177842 | epoch time: 2.97s
Epoch 060 | Train loss: 11.649478 | Val loss: 11.384568 | epoch time: 2.88s
Epoch 061 | Train loss: 11.021848 | Val loss: 10.726031 | epoch time: 2.95s
Epoch 062 | Train loss: 11.162642 | Val loss: 11.862752 | epoch time: 2.89s
Epoch 063 | Train loss: 10.894024 | Val loss: 10.386471 | epoch time: 2.87s
Epoch 064 | Train loss: 10.644121 | Val loss: 11.026980 | epoch time: 2.91s
