# -------------------------
Cluster: 15000015;CONDOR_PROC=0   Process: None
# -------------------------
# Hyperparameters
# -------------------------
n_transforms        : 2
n_splines_bins      : 40
aux_nodes           : 256
aux_layers          : 2
n_passes_flow       : 2
initial_lr          : 0.003
scheduler_patience  : 5
early_stop_patience : 15
batch_size          : 32768
weight_decay        : 1e-05
max_epoch_number    : 250
z_width             : 20
conditions_dim      : 9
Epoch 000 | Train loss: 125.094881 | Val loss: 55.051124 | epoch time: 2.88s
Epoch 001 | Train loss: 43.508645 | Val loss: 32.935256 | epoch time: 2.70s
Epoch 002 | Train loss: 31.066648 | Val loss: 27.164280 | epoch time: 2.86s
Epoch 003 | Train loss: 26.513430 | Val loss: 25.313384 | epoch time: 2.51s
Epoch 004 | Train loss: 25.068317 | Val loss: 24.817154 | epoch time: 2.57s
Epoch 005 | Train loss: 24.297928 | Val loss: 23.566161 | epoch time: 2.51s
Epoch 006 | Train loss: 23.349218 | Val loss: 22.979133 | epoch time: 2.55s
Epoch 007 | Train loss: 23.112936 | Val loss: 22.855314 | epoch time: 2.43s
Epoch 008 | Train loss: 22.825184 | Val loss: 23.175025 | epoch time: 2.73s
Epoch 009 | Train loss: 22.736793 | Val loss: 22.283433 | epoch time: 2.49s
Epoch 010 | Train loss: 22.195886 | Val loss: 21.800681 | epoch time: 2.74s
Epoch 011 | Train loss: 21.488597 | Val loss: 21.611166 | epoch time: 2.56s
Epoch 012 | Train loss: 21.195574 | Val loss: 21.209029 | epoch time: 2.85s
Epoch 013 | Train loss: 20.656886 | Val loss: 20.478325 | epoch time: 2.52s
Epoch 014 | Train loss: 20.155713 | Val loss: 19.816097 | epoch time: 2.47s
Epoch 015 | Train loss: 19.689491 | Val loss: 18.892598 | epoch time: 2.34s
Epoch 016 | Train loss: 19.309571 | Val loss: 19.685810 | epoch time: 2.45s
Epoch 017 | Train loss: 19.393166 | Val loss: 19.029043 | epoch time: 2.45s
Epoch 018 | Train loss: 18.774277 | Val loss: 18.573114 | epoch time: 2.67s
Epoch 019 | Train loss: 18.342188 | Val loss: 18.128878 | epoch time: 2.64s
Epoch 020 | Train loss: 18.235108 | Val loss: 17.862464 | epoch time: 2.72s
Epoch 021 | Train loss: 19.270430 | Val loss: 19.045336 | epoch time: 2.66s
Epoch 022 | Train loss: 18.571883 | Val loss: 18.156372 | epoch time: 2.53s
Epoch 023 | Train loss: 18.165840 | Val loss: 17.617604 | epoch time: 2.84s
Epoch 024 | Train loss: 17.689833 | Val loss: 17.684733 | epoch time: 2.60s
Epoch 025 | Train loss: 17.442226 | Val loss: 17.159204 | epoch time: 2.83s
Epoch 026 | Train loss: 17.395438 | Val loss: 17.327595 | epoch time: 2.57s
